animal;id;experience;test;path
mouse;1;1;1;KAEIMNOPLHDCBAAEIMMNOPPLHHGGFEEAABBCDHGFFJJNMMIEABBCDHLLKK
mouse;1;1;2;KGFEIEFBBCGK
mouse;1;1;3;KOONMMIEAABCGGKK
mouse;1;1;4;KOPLK
mouse;1;1;5;KJINMJK
mouse;1;1;6;KKGCCGK
mouse;1;1;7;KOOPLK
mouse;1;1;8;KJIIMMNOPPLHDDCBBFFEEFGHHDDHLK
mouse;1;1;9;KOOPLKK
mouse;1;1;10;KKJIIEAABFFGGCBFFGHLLPPONNJJIEEA
mouse;1;2;1;KAEIMNOPPLLHDDCBAAEIMNJJFEIJJKK
mouse;1;2;2;KOONMMIEAABCDHHLPOKK
mouse;1;2;3;KKGFJJKK
mouse;1;2;4;KKJIIMNOONMMIEAABCGGKK
mouse;1;2;5;KJIMNOOK
mouse;1;2;6;KGCCBFJNOPPLHHGK
mouse;1;2;7;KKONMMIEABBFFJNNMMIJJFEIIMMNNJIIMNJK
mouse;1;2;8;KJFEIIMNJK
mouse;1;2;9;KKGCBFFGKK
mouse;1;2;10;KONMMIEEAA
mouse;1;3;1;KAEFBAEIJKK
mouse;1;3;2;KGCBFJNOONMMIEAABAEIMNOKK
mouse;1;3;3;KKJJIIEAABBCDDHLLKK
mouse;1;3;4;KJIEAAEIIMNJFBAEEFGGKK
mouse;1;3;5;KLLHGK
mouse;1;3;6;KKJIIEABBB
mouse;1;4;1;KAEFJKK
mouse;1;4;2;KONMMIEAABCDHLPPOONMIEAABFJJKK
mouse;1;4;3;KLLHGK
mouse;1;4;4;KJIMMNOKK
mouse;1;4;5;KKJNOPPONMIEAABFBCCGKK
mouse;1;4;6;KKOPPLHGFFEEIMNJFFBBAA
mouse;1;5;1;KABCDHLPONMMIEAABFFJNOPLLHDCBAAEFIMNOPLHDCBAAEIMNNJFFBBAAEIMNNOPLKK
mouse;1;5;2;KKJIIMNJFBBCCGK
mouse;1;5;3;KOONNJFBAAEIJKK
mouse;1;5;4;KLLHDDCBBFFGCBAEEIMMNOKK
mouse;1;5;5;KKGFFJJKK
mouse;1;5;6;KKJIIEEFGKK
mouse;1;5;7;KKJFBBAAEFFJNOOKK
mouse;1;5;8;KKLHHGGKK
mouse;1;5;9;KGFFJNOPPLKK
mouse;1;5;10;KKONNJFBAAEEIMMNOOPLKK
mouse;1;5;11;KKGCDDHLP
mouse;1;6;1;KAEIMNOKK
mouse;1;6;2;KLPPONMMIEAABCGGK
mouse;1;6;3;KLHDCGKK
mouse;1;6;4;KJIIEAABBCGKK
mouse;1;6;5;KJNOKK
mouse;1;6;6;KLHHGKK
mouse;1;6;7;KJFEEAAEIMMNOKK
mouse;1;6;8;KGGCCBFJJNOPPONJFEIMNNJJFGKK
mouse;1;6;9;KJNMMIIEAABFJNOKK
mouse;1;6;10;KLLHDDHGKK
mouse;1;6;11;KJIIEABBFEIMNOKK
mouse;1;6;12;KKLPPOKK
mouse;1;6;13;KKGFEEAAEFJKK
mouse;1;6;14;KONMMIJFBBAEFFGKK
mouse;1;6;15;KOPPOK
mouse;1;6;16;KKJJKK
mouse;1;6;17;KGCBBHGKK
mouse;1;6;18;KJJIMMNONNJKK
mouse;1;6;19;KGFFEEIMNNJKK
mouse;1;6;20;KJFGGCBAAEEFFJKK
mouse;1;6;21;KJNNOKK
mouse;1;6;22;KKOPPLK
mouse;1;6;23;KKJFEEAABFJKK
mouse;1;6;24;KKJNMMIEFGKK
mouse;1;6;25;KKJIMMNNOK
mouse;1;6;26;KJFFBAAEEFFJKK
mouse;1;6;27;KKGFIEEEIJJK
mouse;1;7;1;KABBAAEIJKK
mouse;1;7;2;KGCBFJNMMNOKK
mouse;1;7;3;KKJFEEIMNOPLK
mouse;1;7;4;KGCDDHLLK
mouse;1;7;5;KJIIEAABFGKK
mouse;1;7;6;KJJNNMMIIEAABFGKK
mouse;1;7;7;KJJFFGHDDHGK
mouse;1;7;8;KKOPPONNJJKKKOOPLLK
mouse;1;7;9;KJIIMMNOOOK
mouse;1;7;10;KJJFFBFEIMNNJJFF
